	128_MISSING	128_MISSING	128_MISSING	128_P_T2_sh_R_D_NA_01.c3d	128_P_T2_sh_R_D_NA_01.c3d	128_P_T2_sh_R_D_NA_01.c3d	128_MISSING	128_MISSING	128_MISSING	128_P_T2_sh_R_D_NA_01.c3d	128_P_T2_sh_R_D_NA_01.c3d	128_P_T2_sh_R_D_NA_01.c3d	128_MISSING	128_MISSING	128_MISSING	128_P_T2_sh_R_D_NA_01.c3d	128_P_T2_sh_R_D_NA_01.c3d	128_P_T2_sh_R_D_NA_01.c3d	128_P_T2_sh_R_D_NA_01.c3d	128_P_T2_sh_R_D_NA_01.c3d	128_P_T2_sh_R_D_NA_01.c3d	128_P_T2_sh_R_D_NA_01.c3d	128_P_T2_sh_R_D_NA_01.c3d	128_P_T2_sh_R_D_NA_01.c3d	128_MISSING	128_MISSING	128_MISSING	128_P_T2_sh_R_D_NA_01.c3d	128_P_T2_sh_R_D_NA_01.c3d	128_P_T2_sh_R_D_NA_01.c3d	128_MISSING	128_MISSING	128_MISSING	128_P_T2_sh_R_D_NA_01.c3d	128_P_T2_sh_R_D_NA_01.c3d	128_P_T2_sh_R_D_NA_01.c3d	128_MISSING	128_MISSING	128_MISSING	128_P_T2_sh_R_D_NA_01.c3d	128_P_T2_sh_R_D_NA_01.c3d	128_P_T2_sh_R_D_NA_01.c3d	128_P_T2_sh_R_D_NA_01.c3d	128_P_T2_sh_R_D_NA_01.c3d	128_P_T2_sh_R_D_NA_01.c3d	128_P_T2_sh_R_D_NA_01.c3d	128_P_T2_sh_R_D_NA_01.c3d	128_P_T2_sh_R_D_NA_01.c3d	128_MISSING	128_MISSING	128_MISSING	128_P_T2_sh_R_D_NA_03.c3d	128_P_T2_sh_R_D_NA_03.c3d	128_P_T2_sh_R_D_NA_03.c3d	128_MISSING	128_MISSING	128_MISSING	128_P_T2_sh_R_D_NA_03.c3d	128_P_T2_sh_R_D_NA_03.c3d	128_P_T2_sh_R_D_NA_03.c3d	128_MISSING	128_MISSING	128_MISSING	128_P_T2_sh_R_D_NA_03.c3d	128_P_T2_sh_R_D_NA_03.c3d	128_P_T2_sh_R_D_NA_03.c3d	128_P_T2_sh_R_D_NA_03.c3d	128_P_T2_sh_R_D_NA_03.c3d	128_P_T2_sh_R_D_NA_03.c3d	128_P_T2_sh_R_D_NA_03.c3d	128_P_T2_sh_R_D_NA_03.c3d	128_P_T2_sh_R_D_NA_03.c3d	128_MISSING	128_MISSING	128_MISSING	128_P_T2_sh_R_D_NA_03.c3d	128_P_T2_sh_R_D_NA_03.c3d	128_P_T2_sh_R_D_NA_03.c3d	128_MISSING	128_MISSING	128_MISSING	128_P_T2_sh_R_D_NA_03.c3d	128_P_T2_sh_R_D_NA_03.c3d	128_P_T2_sh_R_D_NA_03.c3d	128_MISSING	128_MISSING	128_MISSING	128_P_T2_sh_R_D_NA_03.c3d	128_P_T2_sh_R_D_NA_03.c3d	128_P_T2_sh_R_D_NA_03.c3d	128_P_T2_sh_R_D_NA_03.c3d	128_P_T2_sh_R_D_NA_03.c3d	128_P_T2_sh_R_D_NA_03.c3d	128_P_T2_sh_R_D_NA_03.c3d	128_P_T2_sh_R_D_NA_03.c3d	128_P_T2_sh_R_D_NA_03.c3d	128_MISSING	128_MISSING	128_MISSING	128_P_T2_sh_R_D_NA_04.c3d	128_P_T2_sh_R_D_NA_04.c3d	128_P_T2_sh_R_D_NA_04.c3d	128_MISSING	128_MISSING	128_MISSING	128_P_T2_sh_R_D_NA_04.c3d	128_P_T2_sh_R_D_NA_04.c3d	128_P_T2_sh_R_D_NA_04.c3d	128_MISSING	128_MISSING	128_MISSING	128_P_T2_sh_R_D_NA_04.c3d	128_P_T2_sh_R_D_NA_04.c3d	128_P_T2_sh_R_D_NA_04.c3d	128_P_T2_sh_R_D_NA_04.c3d	128_P_T2_sh_R_D_NA_04.c3d	128_P_T2_sh_R_D_NA_04.c3d	128_P_T2_sh_R_D_NA_04.c3d	128_P_T2_sh_R_D_NA_04.c3d	128_P_T2_sh_R_D_NA_04.c3d	128_MISSING	128_MISSING	128_MISSING	128_P_T2_sh_R_D_NA_04.c3d	128_P_T2_sh_R_D_NA_04.c3d	128_P_T2_sh_R_D_NA_04.c3d	128_MISSING	128_MISSING	128_MISSING	128_P_T2_sh_R_D_NA_04.c3d	128_P_T2_sh_R_D_NA_04.c3d	128_P_T2_sh_R_D_NA_04.c3d	128_MISSING	128_MISSING	128_MISSING	128_P_T2_sh_R_D_NA_04.c3d	128_P_T2_sh_R_D_NA_04.c3d	128_P_T2_sh_R_D_NA_04.c3d	128_P_T2_sh_R_D_NA_04.c3d	128_P_T2_sh_R_D_NA_04.c3d	128_P_T2_sh_R_D_NA_04.c3d	128_P_T2_sh_R_D_NA_04.c3d	128_P_T2_sh_R_D_NA_04.c3d	128_P_T2_sh_R_D_NA_04.c3d	128_MISSING	128_MISSING	128_MISSING	128_P_T2_sh_R_D_NA_06.c3d	128_P_T2_sh_R_D_NA_06.c3d	128_P_T2_sh_R_D_NA_06.c3d	128_MISSING	128_MISSING	128_MISSING	128_P_T2_sh_R_D_NA_06.c3d	128_P_T2_sh_R_D_NA_06.c3d	128_P_T2_sh_R_D_NA_06.c3d	128_MISSING	128_MISSING	128_MISSING	128_P_T2_sh_R_D_NA_06.c3d	128_P_T2_sh_R_D_NA_06.c3d	128_P_T2_sh_R_D_NA_06.c3d	128_P_T2_sh_R_D_NA_06.c3d	128_P_T2_sh_R_D_NA_06.c3d	128_P_T2_sh_R_D_NA_06.c3d	128_P_T2_sh_R_D_NA_06.c3d	128_P_T2_sh_R_D_NA_06.c3d	128_P_T2_sh_R_D_NA_06.c3d	128_MISSING	128_MISSING	128_MISSING	128_P_T2_sh_R_D_NA_06.c3d	128_P_T2_sh_R_D_NA_06.c3d	128_P_T2_sh_R_D_NA_06.c3d	128_MISSING	128_MISSING	128_MISSING	128_P_T2_sh_R_D_NA_06.c3d	128_P_T2_sh_R_D_NA_06.c3d	128_P_T2_sh_R_D_NA_06.c3d	128_MISSING	128_MISSING	128_MISSING	128_P_T2_sh_R_D_NA_06.c3d	128_P_T2_sh_R_D_NA_06.c3d	128_P_T2_sh_R_D_NA_06.c3d	128_P_T2_sh_R_D_NA_06.c3d	128_P_T2_sh_R_D_NA_06.c3d	128_P_T2_sh_R_D_NA_06.c3d	128_P_T2_sh_R_D_NA_06.c3d	128_P_T2_sh_R_D_NA_06.c3d	128_P_T2_sh_R_D_NA_06.c3d	128_MISSING	128_MISSING	128_MISSING	128_P_T2_sh_R_D_NA_07.c3d	128_P_T2_sh_R_D_NA_07.c3d	128_P_T2_sh_R_D_NA_07.c3d	128_MISSING	128_MISSING	128_MISSING	128_P_T2_sh_R_D_NA_07.c3d	128_P_T2_sh_R_D_NA_07.c3d	128_P_T2_sh_R_D_NA_07.c3d	128_MISSING	128_MISSING	128_MISSING	128_P_T2_sh_R_D_NA_07.c3d	128_P_T2_sh_R_D_NA_07.c3d	128_P_T2_sh_R_D_NA_07.c3d	128_P_T2_sh_R_D_NA_07.c3d	128_P_T2_sh_R_D_NA_07.c3d	128_P_T2_sh_R_D_NA_07.c3d	128_P_T2_sh_R_D_NA_07.c3d	128_P_T2_sh_R_D_NA_07.c3d	128_P_T2_sh_R_D_NA_07.c3d	128_MISSING	128_MISSING	128_MISSING	128_P_T2_sh_R_D_NA_07.c3d	128_P_T2_sh_R_D_NA_07.c3d	128_P_T2_sh_R_D_NA_07.c3d	128_MISSING	128_MISSING	128_MISSING	128_P_T2_sh_R_D_NA_07.c3d	128_P_T2_sh_R_D_NA_07.c3d	128_P_T2_sh_R_D_NA_07.c3d	128_MISSING	128_MISSING	128_MISSING	128_P_T2_sh_R_D_NA_07.c3d	128_P_T2_sh_R_D_NA_07.c3d	128_P_T2_sh_R_D_NA_07.c3d	128_P_T2_sh_R_D_NA_07.c3d	128_P_T2_sh_R_D_NA_07.c3d	128_P_T2_sh_R_D_NA_07.c3d	128_P_T2_sh_R_D_NA_07.c3d	128_P_T2_sh_R_D_NA_07.c3d	128_P_T2_sh_R_D_NA_07.c3d	128_MISSING	128_MISSING	128_MISSING	128_P_T2_sh_R_D_NA_08.c3d	128_P_T2_sh_R_D_NA_08.c3d	128_P_T2_sh_R_D_NA_08.c3d	128_MISSING	128_MISSING	128_MISSING	128_P_T2_sh_R_D_NA_08.c3d	128_P_T2_sh_R_D_NA_08.c3d	128_P_T2_sh_R_D_NA_08.c3d	128_MISSING	128_MISSING	128_MISSING	128_P_T2_sh_R_D_NA_08.c3d	128_P_T2_sh_R_D_NA_08.c3d	128_P_T2_sh_R_D_NA_08.c3d	128_P_T2_sh_R_D_NA_08.c3d	128_P_T2_sh_R_D_NA_08.c3d	128_P_T2_sh_R_D_NA_08.c3d	128_P_T2_sh_R_D_NA_08.c3d	128_P_T2_sh_R_D_NA_08.c3d	128_P_T2_sh_R_D_NA_08.c3d	128_MISSING	128_MISSING	128_MISSING	128_P_T2_sh_R_D_NA_08.c3d	128_P_T2_sh_R_D_NA_08.c3d	128_P_T2_sh_R_D_NA_08.c3d	128_MISSING	128_MISSING	128_MISSING	128_P_T2_sh_R_D_NA_08.c3d	128_P_T2_sh_R_D_NA_08.c3d	128_P_T2_sh_R_D_NA_08.c3d	128_MISSING	128_MISSING	128_MISSING	128_P_T2_sh_R_D_NA_08.c3d	128_P_T2_sh_R_D_NA_08.c3d	128_P_T2_sh_R_D_NA_08.c3d	128_P_T2_sh_R_D_NA_08.c3d	128_P_T2_sh_R_D_NA_08.c3d	128_P_T2_sh_R_D_NA_08.c3d	128_P_T2_sh_R_D_NA_08.c3d	128_P_T2_sh_R_D_NA_08.c3d	128_P_T2_sh_R_D_NA_08.c3d	128_MISSING	128_MISSING	128_MISSING	128_P_T2_sh_R_D_NA_10.c3d	128_P_T2_sh_R_D_NA_10.c3d	128_P_T2_sh_R_D_NA_10.c3d	128_MISSING	128_MISSING	128_MISSING	128_P_T2_sh_R_D_NA_10.c3d	128_P_T2_sh_R_D_NA_10.c3d	128_P_T2_sh_R_D_NA_10.c3d	128_MISSING	128_MISSING	128_MISSING	128_P_T2_sh_R_D_NA_10.c3d	128_P_T2_sh_R_D_NA_10.c3d	128_P_T2_sh_R_D_NA_10.c3d	128_P_T2_sh_R_D_NA_10.c3d	128_P_T2_sh_R_D_NA_10.c3d	128_P_T2_sh_R_D_NA_10.c3d	128_P_T2_sh_R_D_NA_10.c3d	128_P_T2_sh_R_D_NA_10.c3d	128_P_T2_sh_R_D_NA_10.c3d	128_MISSING	128_MISSING	128_MISSING	128_P_T2_sh_R_D_NA_10.c3d	128_P_T2_sh_R_D_NA_10.c3d	128_P_T2_sh_R_D_NA_10.c3d	128_MISSING	128_MISSING	128_MISSING	128_P_T2_sh_R_D_NA_10.c3d	128_P_T2_sh_R_D_NA_10.c3d	128_P_T2_sh_R_D_NA_10.c3d	128_MISSING	128_MISSING	128_MISSING	128_P_T2_sh_R_D_NA_10.c3d	128_P_T2_sh_R_D_NA_10.c3d	128_P_T2_sh_R_D_NA_10.c3d	128_P_T2_sh_R_D_NA_10.c3d	128_P_T2_sh_R_D_NA_10.c3d	128_P_T2_sh_R_D_NA_10.c3d	128_P_T2_sh_R_D_NA_10.c3d	128_P_T2_sh_R_D_NA_10.c3d	128_P_T2_sh_R_D_NA_10.c3d
	ankle_mom_X	ankle_mom_Y	ankle_mom_Z	foot_X	foot_Y	foot_Z	hip_mom_X	hip_mom_Y	hip_mom_Z	hip_X	hip_Y	hip_Z	knee_mom_X	knee_mom_Y	knee_mom_Z	knee_X	knee_Y	knee_Z	pelvis_X	pelvis_Y	pelvis_Z	thorax_X	thorax_Y	thorax_Z	ankle_mom_X	ankle_mom_Y	ankle_mom_Z	foot_X	foot_Y	foot_Z	hip_mom_X	hip_mom_Y	hip_mom_Z	hip_X	hip_Y	hip_Z	knee_mom_X	knee_mom_Y	knee_mom_Z	knee_X	knee_Y	knee_Z	pelvis_X	pelvis_Y	pelvis_Z	thorax_X	thorax_Y	thorax_Z	ankle_mom_X	ankle_mom_Y	ankle_mom_Z	foot_X	foot_Y	foot_Z	hip_mom_X	hip_mom_Y	hip_mom_Z	hip_X	hip_Y	hip_Z	knee_mom_X	knee_mom_Y	knee_mom_Z	knee_X	knee_Y	knee_Z	pelvis_X	pelvis_Y	pelvis_Z	thorax_X	thorax_Y	thorax_Z	ankle_mom_X	ankle_mom_Y	ankle_mom_Z	foot_X	foot_Y	foot_Z	hip_mom_X	hip_mom_Y	hip_mom_Z	hip_X	hip_Y	hip_Z	knee_mom_X	knee_mom_Y	knee_mom_Z	knee_X	knee_Y	knee_Z	pelvis_X	pelvis_Y	pelvis_Z	thorax_X	thorax_Y	thorax_Z	ankle_mom_X	ankle_mom_Y	ankle_mom_Z	foot_X	foot_Y	foot_Z	hip_mom_X	hip_mom_Y	hip_mom_Z	hip_X	hip_Y	hip_Z	knee_mom_X	knee_mom_Y	knee_mom_Z	knee_X	knee_Y	knee_Z	pelvis_X	pelvis_Y	pelvis_Z	thorax_X	thorax_Y	thorax_Z	ankle_mom_X	ankle_mom_Y	ankle_mom_Z	foot_X	foot_Y	foot_Z	hip_mom_X	hip_mom_Y	hip_mom_Z	hip_X	hip_Y	hip_Z	knee_mom_X	knee_mom_Y	knee_mom_Z	knee_X	knee_Y	knee_Z	pelvis_X	pelvis_Y	pelvis_Z	thorax_X	thorax_Y	thorax_Z	ankle_mom_X	ankle_mom_Y	ankle_mom_Z	foot_X	foot_Y	foot_Z	hip_mom_X	hip_mom_Y	hip_mom_Z	hip_X	hip_Y	hip_Z	knee_mom_X	knee_mom_Y	knee_mom_Z	knee_X	knee_Y	knee_Z	pelvis_X	pelvis_Y	pelvis_Z	thorax_X	thorax_Y	thorax_Z	ankle_mom_X	ankle_mom_Y	ankle_mom_Z	foot_X	foot_Y	foot_Z	hip_mom_X	hip_mom_Y	hip_mom_Z	hip_X	hip_Y	hip_Z	knee_mom_X	knee_mom_Y	knee_mom_Z	knee_X	knee_Y	knee_Z	pelvis_X	pelvis_Y	pelvis_Z	thorax_X	thorax_Y	thorax_Z	ankle_mom_X	ankle_mom_Y	ankle_mom_Z	foot_X	foot_Y	foot_Z	hip_mom_X	hip_mom_Y	hip_mom_Z	hip_X	hip_Y	hip_Z	knee_mom_X	knee_mom_Y	knee_mom_Z	knee_X	knee_Y	knee_Z	pelvis_X	pelvis_Y	pelvis_Z	thorax_X	thorax_Y	thorax_Z	ankle_mom_X	ankle_mom_Y	ankle_mom_Z	foot_X	foot_Y	foot_Z	hip_mom_X	hip_mom_Y	hip_mom_Z	hip_X	hip_Y	hip_Z	knee_mom_X	knee_mom_Y	knee_mom_Z	knee_X	knee_Y	knee_Z	pelvis_X	pelvis_Y	pelvis_Z	thorax_X	thorax_Y	thorax_Z	ankle_mom_X	ankle_mom_Y	ankle_mom_Z	foot_X	foot_Y	foot_Z	hip_mom_X	hip_mom_Y	hip_mom_Z	hip_X	hip_Y	hip_Z	knee_mom_X	knee_mom_Y	knee_mom_Z	knee_X	knee_Y	knee_Z	pelvis_X	pelvis_Y	pelvis_Z	thorax_X	thorax_Y	thorax_Z	ankle_mom_X	ankle_mom_Y	ankle_mom_Z	foot_X	foot_Y	foot_Z	hip_mom_X	hip_mom_Y	hip_mom_Z	hip_X	hip_Y	hip_Z	knee_mom_X	knee_mom_Y	knee_mom_Z	knee_X	knee_Y	knee_Z	pelvis_X	pelvis_Y	pelvis_Z	thorax_X	thorax_Y	thorax_Z	ankle_mom_X	ankle_mom_Y	ankle_mom_Z	foot_X	foot_Y	foot_Z	hip_mom_X	hip_mom_Y	hip_mom_Z	hip_X	hip_Y	hip_Z	knee_mom_X	knee_mom_Y	knee_mom_Z	knee_X	knee_Y	knee_Z	pelvis_X	pelvis_Y	pelvis_Z	thorax_X	thorax_Y	thorax_Z	ankle_mom_X	ankle_mom_Y	ankle_mom_Z	foot_X	foot_Y	foot_Z	hip_mom_X	hip_mom_Y	hip_mom_Z	hip_X	hip_Y	hip_Z	knee_mom_X	knee_mom_Y	knee_mom_Z	knee_X	knee_Y	knee_Z	pelvis_X	pelvis_Y	pelvis_Z	thorax_X	thorax_Y	thorax_Z
	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D
	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1				-9.077574	5.832510	2.066271				40.569862	-9.004703	1.473391				37.073597	-11.060805	-0.783699	20.548111	-6.260017	-5.227153	2.371825	2.349787	-1.519329				-6.046440	-0.534670	6.054670				39.867870	0.639658	-7.540538				35.212078	-3.542054	-5.145195	18.799208	-19.372660	10.825893	-1.552366	8.795168	-2.678817				-8.124709	4.185203	-0.295058				44.398098	-3.137294	6.480430				40.762283	-15.418036	-3.792193	24.394156	-5.441857	-10.155751	0.603041	0.171228	0.089533				-13.807233	4.234448	12.327480				39.405190	3.373398	0.123599				27.331554	-4.184020	-6.026471	23.993172	-15.659932	2.632232	-2.245234	6.474673	-8.201725				-3.287818	9.923954	-0.753197				40.800232	-7.090676	2.329548				41.968956	-8.523196	-4.284011	22.839245	-2.211155	-3.214286	0.858677	0.211306	-1.091159				-9.194333	8.915441	9.801692				40.741543	5.282971	-4.342261				33.429161	-1.933383	-3.901447	21.747192	-11.639552	6.747173	-2.323634	6.118572	-6.320732				1.866859	10.477080	-0.632789				42.104130	-6.340570	3.169280				44.461136	-9.291756	-6.852832	21.440151	-2.624470	-1.819060	-0.215824	-0.192584	0.052514				-8.189100	-3.948942	8.901137				40.147064	6.882308	-4.701981				40.657955	0.673926	-8.262065	19.548344	-11.198871	6.530383	-1.525194	6.922646	-1.946225				-8.679491	3.953883	0.039822				40.909489	-6.713572	5.829112				42.974041	-8.764081	-6.489386	19.171452	-6.002889	-3.739798	2.306808	0.649323	3.087873				-10.025100	5.662302	6.429576				42.595280	-2.979574	2.002880				35.675156	-3.907393	-5.950915	22.647957	-20.854582	5.749659	-0.814972	8.393188	-9.991353				-3.816755	4.100874	1.218718				38.272739	-0.048185	5.146747				43.015106	-3.009030	-3.638322	21.019703	4.677008	-2.204970	0.863043	-9.091676	-8.482527				-15.172235	4.243244	9.381992				42.716103	10.917630	2.625293				31.906065	-1.433549	-6.132408	23.530060	-9.712623	-6.192680	2.045770	3.027468	-11.927290				0.010322	6.991422	-3.762437				40.987507	-5.484125	3.761799				46.033623	-9.522099	-6.117612	21.900743	-3.022160	-1.052862	1.509587	-0.672102	2.567349				-7.726658	9.025181	11.798965				42.456470	1.447363	-7.526895				37.808731	-0.358311	-2.240952	23.148987	-11.957890	-0.275295	0.939194	5.268723	-3.976723
2				-8.603995	6.462425	2.178457				40.585144	-9.056752	1.520957				37.303425	-10.999105	-0.435129	20.575674	-6.157144	-5.124815	2.313307	2.265632	-1.599737				-5.758582	-1.095777	6.278808				39.777203	0.600032	-7.525269				35.207458	-3.591816	-5.298757	18.708071	-19.450550	10.953750	-1.534977	8.834162	-2.784467				-7.829418	4.583696	-0.359926				44.385387	-3.157073	6.567889				40.943542	-15.270072	-3.594034	24.365383	-5.365057	-10.121895	0.622462	0.098856	0.066292				-13.228883	3.518315	12.127155				39.429600	3.329139	0.140781				27.582745	-4.157222	-5.820520	23.972918	-15.748909	2.715699	-2.268243	6.519427	-8.275792				-2.577527	10.202808	-1.012554				40.763821	-7.093927	2.334420				42.126358	-8.335965	-4.059481	22.860050	-2.113174	-3.154024	0.813018	0.154430	-1.142508				-8.776323	8.130749	9.732840				40.660622	5.294833	-4.236567				33.511452	-1.976364	-3.884360	21.662209	-11.739458	6.860150	-2.304178	6.167606	-6.458223				2.567596	10.825689	-0.828687				42.039585	-6.358155	3.225869				44.516388	-9.176433	-6.575717	21.503607	-2.552113	-1.753158	-0.308783	-0.245516	0.000378				-7.732221	-4.313674	9.010499				40.016666	6.843979	-4.589810				40.597038	0.642170	-8.337110	19.515934	-11.304078	6.625292	-1.528007	6.991368	-2.083817				-8.267500	4.417098	0.221778				40.767712	-6.772826	5.892358				43.021847	-8.633332	-6.418614	19.135750	-5.911402	-3.679220	2.300585	0.576829	3.011610				-9.488033	4.964888	6.654711				42.570251	-3.085758	2.119963				35.916000	-4.028767	-5.840842	22.609529	-21.022213	5.819421	-0.824745	8.450438	-10.050408				-3.151941	4.407466	1.515654				38.136242	-0.156707	5.115995				42.985794	-2.820282	-3.623500	21.065655	4.780456	-2.103657	0.774767	-9.197395	-8.573851				-14.786342	3.560314	9.485727				42.630657	10.821988	2.943631				32.093670	-1.221896	-6.350688	23.419195	-9.782319	-6.138309	2.075741	3.037062	-12.001900				0.576460	7.303261	-4.024500				40.989582	-5.539931	3.830256				46.154495	-9.301236	-5.889165	21.966522	-2.948644	-1.001378	1.445279	-0.745080	2.530545				-7.321912	8.217155	11.592623				42.315483	1.631872	-7.684454				37.700668	-0.608342	-2.161864	23.065504	-12.004688	-0.194807	0.961907	5.274453	-4.127820
